ANTH-101 -01 000980,Human Origins,3,ANTH-Anthropology
ANTH-101 -02 000981,Human Origins,3,ANTH-Anthropology
ANTH-101 -03 000982,Human Origins,3,ANTH-Anthropology
ANTH-101 -50 000983,Human Origins,3,ANTH-Anthropology
ANTH-101 -51 001220,Human Origins,3,ANTH-Anthropology
ANTH-301 -50 000984,Approaches to Cultural Anthropology,4,ANTH-Anthropology
ANTH-302 -01 000985,Gender and Culture,4,ANTH-Anthropology
ANTH-302 -02 000986,Gender and Culture,4,ANTH-Anthropology
ANTH-304 -01 000987,Anthropology of Religion,4,ANTH-Anthropology
ANTH-308 -50 000988,Archaeology: Explaining the Past,4,ANTH-Anthropology
ANTH-329 -01 000989,Race and Ethnicity: Sociological and Anthropological Perspectives,4,ANTH-Anthropology
CJS-101 -01 000293,Introduction to Criminal Justice,3,CJS-Criminal Justice
CJS-101 -50 000294,Introduction to Criminal Justice,3,CJS-Criminal Justice
CJS-350 -01 000312,Citizenship: Community Involvement,4,CJS-Criminal Justice
CJS-350 -50 000771,Citizenship: Community Involvement,4,CJS-Criminal Justice
CJS-360 -01 000314,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -02 000315,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -50 000316,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -51 000317,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -52 000318,Diversity in Criminal Justice,4,CJS-Criminal Justice
ECON-201 -01 000453,Macroeconomics,3,ECON-Economics
ECON-201 -02 000454,Macroeconomics,3,ECON-Economics
ECON-201 -50 000456,Macroeconomics,3,ECON-Economics
ECON-201 -51 000457,Macroeconomics,3,ECON-Economics
ECON-201 -52 000458,Macroeconomics,3,ECON-Economics
ECON-202 -01 000459,Microeconomics,3,ECON-Economics
ECON-202 -02 000460,Microeconomics,3,ECON-Economics
ECON-202 -50 000461,Microeconomics,3,ECON-Economics
